alumno_id,horas_estudio_sem,asistencia_pct,participacion_clase,num_tareas_entregadas,promedio_examenes_parciales,acceso_internet,nivel_socioeconomico,horas_trabajo_sem,num_reprobadas_previas,modalidad,tutor_asignado,nota_final,resultado
20001,22.0,32.9,1,8,31.67,Si,MEDIO,11,2,híbrido,0,31.51,Reprobado
20002,21.0,80.9,alta,2,82.46,0,,39,5,Presencial,0,91.08,Excelente
20003,23.0,33.7,1,7,49.6,0,bajo,38,2,presencial,1,60.34,Suficiente
20004,7.0,90.6,media,12,49.62,,Alto,36,6,presencial,0,33.5,Reprobado
20005,,36.7,1,13,35.21,NO,Bajo,36,0,EN LÍNEA,0,27.73,Reprobado
20006,10.0,78.4,2,18,36.38,1,bajo,29,2,híbrido,0,48.56,Reprobado
20007,,36.5,media,7,56.12,Si,Bajo,25,4,Presencial,0,69.66,Suficiente
20008,14.0,47.4,ALTA,4,99.39,1,MEDIO,31,4,presencial,0,75.75,Bueno
20009,,95.1,Baja,17,54.45,1,bajo,28,1,Presencial,1,47.0,Reprobado
20010,21.0,77.6,Media,5,35.91,NO,Alto,27,3,EN LÍNEA,0,68.4,Suficiente
20011,33.0,59.4,Media,10,68.62,si,bajo,9,7,EN LÍNEA,0,65.7,Suficiente
20012,39.0,48.3,alta,10,,NO,MEDIO,6,3,híbrido,0,79.97,Bueno
20013,45.0,79.9,alta,16,81.91,si,bajo,12,6,Presencial,0,100.0,Excelente
20014,29.0,37.4,alta,14,93.58,NO,,1,2,Presencial,0,92.17,Excelente
20015,0.0,40.2,Media,1,66.12,0,Alto,21,4,EN LÍNEA,0,47.73,Reprobado
20016,6.0,80.1,Media,18,89.45,Si,Bajo,21,7,híbrido,0,78.1,Bueno
20017,,36.9,alta,9,32.46,No,bajo,26,0,híbrido,1,42.07,Reprobado
20018,2.0,52.7,media,3,93.37,No,Medio,46,1,en línea,0,59.64,Reprobado
20019,6.0,30.1,2,7,44.45,NO,,41,1,en línea,1,30.18,Reprobado
20020,22.0,98.3,Media,3,39.15,1,Bajo,29,7,híbrido,1,60.6,Suficiente
20021,25.0,41.2,Media,4,92.64,No,MEDIO,25,4,en línea,1,86.04,Bueno
20022,11.0,72.8,2,15,35.09,NO,Bajo,29,2,Presencial,1,57.97,Reprobado
20023,,77.1,Baja,19,72.5,,bajo,7,1,presencial,1,82.35,Bueno
20024,29.0,78.3,Media,10,68.08,si,Medio,24,3,en línea,1,89.36,Bueno
20025,32.0,48.3,media,16,31.03,0,Bajo,14,2,híbrido,0,60.5,Suficiente
20026,48.0,50.2,media,16,82.05,No,,14,2,presencial,0,100.0,Excelente
20027,29.0,34.6,alta,7,52.78,,Alto,33,4,EN LÍNEA,1,59.76,Reprobado
20028,8.0,78.9,Media,0,33.02,NO,Alto,0,0,Presencial,0,44.71,Reprobado
20029,35.0,48.3,alta,8,36.15,1,bajo,0,0,presencial,0,57.19,Reprobado
20030,10.0,45.4,Baja,7,49.94,NO,bajo,17,2,EN LÍNEA,0,52.55,Reprobado
20031,1.0,53.1,alta,19,76.16,NO,Bajo,36,5,en línea,1,33.06,Reprobado
20032,12.0,46.5,Alta,6,,Si,MEDIO,6,4,EN LÍNEA,0,60.34,Suficiente
20033,7.0,56.1,alta,15,92.59,NO,Bajo,34,1,presencial,1,65.32,Suficiente
20034,38.0,48.1,ALTA,5,68.26,NO,Alto,47,3,híbrido,0,95.96,Excelente
